Time,Channel B
(ms),(V)

-3.85713705,4.94460900
-3.85585705,4.94460900
-3.85457705,4.94460900
-3.85329705,4.94460900
-3.85201705,4.94460900
-3.85073705,4.94460900
-3.84945705,4.94460900
-3.84817705,4.94460900
-3.84689705,4.94460900
-3.84561705,4.94460900
-3.84433705,4.94460900
-3.84305705,4.94460900
-3.84177705,4.94460900
-3.84049705,4.94460900
-3.83921705,4.94460900
-3.83793705,4.94460900
-3.83665705,4.94460900
-3.83537705,4.94460900
-3.83409705,4.94460900
-3.83281705,4.94460900
-3.83153705,4.94460900
-3.83025705,4.94460900
-3.82897705,4.94460900
-3.82769705,4.94460900
-3.82641705,4.94460900
-3.82513705,4.94460900
-3.82385705,4.94460900
-3.82257705,4.94460900
-3.82129705,4.94460900
-3.82001705,4.94460900
-3.81873705,4.94460900
-3.81745705,4.94460900
-3.81617705,4.94460900
-3.81489705,4.94460900
-3.81361705,4.94460900
-3.81233705,4.94460900
-3.81105705,4.94460900
-3.80977705,4.94460900
-3.80849705,4.94460900
-3.80721705,4.94460900
-3.80593705,4.94460900
-3.80465705,4.94460900
-3.80337705,4.94460900
-3.80209705,4.94460900
-3.80081705,4.94460900
-3.79953705,4.94460900
-3.79825705,4.94460900
-3.79697705,4.94460900
-3.79569705,4.94460900
-3.79441705,4.94460900
-3.79313705,4.94460900
-3.79185705,5.12100600
-3.79057705,4.94460900
-3.78929705,5.12100600
-3.78801705,5.12100600
-3.78673705,4.94460900
-3.78545705,4.94460900
-3.78417705,4.94460900
-3.78289705,4.94460900
-3.78161705,4.94460900
-3.78033705,4.94460900
-3.77905705,4.94460900
-3.77777705,4.94460900
-3.77649705,4.94460900
-3.77521705,4.94460900
-3.77393705,4.94460900
-3.77265705,4.94460900
-3.77137705,4.94460900
-3.77009705,4.94460900
-3.76881705,4.94460900
-3.76753705,4.94460900
-3.76625705,4.94460900
-3.76497705,4.94460900
-3.76369705,4.94460900
-3.76241705,4.94460900
-3.76113705,4.94460900
-3.75985705,4.94460900
-3.75857705,4.94460900
-3.75729705,4.94460900
-3.75601705,4.94460900
-3.75473705,4.94460900
-3.75345705,4.94460900
-3.75217705,4.94460900
-3.75089705,4.94460900
-3.74961705,4.94460900
-3.74833705,4.94460900
-3.74705705,4.94460900
-3.74577705,4.94460900
-3.74449705,4.94460900
-3.74321705,4.94460900
-3.74193705,4.94460900
-3.74065705,4.94460900
-3.73937705,4.94460900
-3.73809705,4.94460900
